TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
8733158.61,16,Male,Not in labor force,Yes,,Saturday,0,-1,0,90,750,0,0,0,0,120,0,0,0,0,120,360,0,0,0,0,,0,0
12279743.91,21,Female,Unemployed - looking,Yes,,Tuesday,0,-1,0,40,585,0,0,0,0,660,25,0,0,0,0,0,0,0,0,0,,130,0
13174385.57,19,Male,Not in labor force,Yes,,Tuesday,0,-1,0,45,840,0,0,0,0,240,0,0,0,0,15,0,0,0,0,0,,300,0
3091944.157,16,Male,Not in labor force,Yes,,Saturday,0,-1,0,20,398,30,0,0,0,0,2,0,0,0,20,520,390,0,0,0,,60,0
5995332.488,28,Female,Employed - absent,Yes,Employed,Tuesday,0,-1,120,15,465,95,720,0,0,30,0,0,0,0,25,90,0,0,0,0,,0,0
18227520.26,15,Male,Employed - at work,Yes,,Tuesday,0,-1,0,10,570,0,5,0,0,395,0,0,0,0,45,361,0,0,0,0,,54,0
4487384.42,33,Male,Employed - at work,Yes,,Sunday,0,-1,0,50,525,145,0,40,0,0,60,0,0,0,80,445,0,0,0,0,,65,30
12349096.67,17,Female,Employed - at work,Yes,,Thursday,0,-1,0,60,720,10,0,0,0,406,0,0,0,0,40,194,0,0,0,0,,10,0
11093214.2,37,Female,Employed - at work,Yes,,Friday,0,-1,0,60,470,90,0,0,445,60,10,0,0,0,60,185,0,0,0,0,,60,0
13349246.9,15,Female,Not in labor force,Yes,,Friday,0,-1,0,125,533,0,0,0,0,390,0,0,0,0,40,310,0,0,0,2,,40,0
13868890.4,25,Male,Unemployed - looking,Yes,,Wednesday,0,-1,0,3,834,0,0,0,0,240,0,0,0,0,21,240,0,0,0,0,,15,87
7833630.258,37,Female,Not in labor force,Yes,,Saturday,0,-1,0,170,300,0,0,0,0,0,22,0,60,0,20,654,120,0,1,0,,92,1
4734290.963,18,Male,Not in labor force,Yes,,Saturday,0,-1,90,0,750,0,0,0,0,90,0,0,0,0,10,590,0,0,0,0,,0,0
16379579.68,32,Male,Unemployed - looking,Yes,,Friday,0,-1,0,75,480,0,0,0,0,165,0,0,0,0,45,135,0,135,0,0,,185,220
12513147.74,17,Male,Not in labor force,Yes,,Tuesday,0,-1,0,25,495,0,0,0,0,480,0,0,0,0,40,250,120,0,0,0,,30,0
12191664.17,26,Female,Employed - at work,Yes,,Thursday,0,-1,0,30,570,5,0,0,300,270,0,0,0,0,20,245,0,0,0,0,,0,0
6901440.663,29,Female,Employed - at work,Yes,,Tuesday,0,-1,0,70,460,46,0,0,30,252,0,70,0,0,55,217,120,0,0,0,,60,60
2818882.948,31,Female,Employed - at work,Yes,Employed,Saturday,0,-1,190,30,715,30,105,0,0,0,0,0,0,0,90,405,0,0,0,0,,65,0
11613332.49,20,Male,Employed - at work,Yes,,Saturday,0,-1,0,0,480,0,0,0,875,0,1,0,0,0,10,10,0,0,0,0,,64,0
2751738.448,42,Female,Unemployed - looking,Yes,Employed,Sunday,0,-1,240,100,365,175,130,0,0,245,0,0,0,0,40,40,0,150,0,0,,75,120
7920069.579,16,Female,Not in labor force,Yes,,Saturday,0,-1,0,65,570,0,0,0,0,190,0,0,0,0,105,450,0,0,0,0,,60,0
