TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
3182441.983,38,Female,Employed - at work,No,,Sunday,0,-1,0,50,520,20,0,0,750,0,0,0,0,0,40,0,0,0,0,60,,0,0
15517830.5,75,Male,Employed - at work,,Unemployed,Friday,0,-1,0,50,390,125,0,0,260,0,0,0,0,0,85,470,0,0,0,0,,60,0
2716263.447,54,Female,Employed - at work,,,Sunday,0,-1,0,0,700,90,0,0,240,0,0,0,0,0,125,120,0,0,0,0,,90,75
5168270.982,49,Male,Employed - absent,No,,Thursday,0,-1,0,0,510,180,0,0,0,0,15,0,0,0,75,575,0,0,0,0,,85,0
8381281.656,51,Female,Not in labor force,,Employed,Wednesday,0,-1,340,75,375,145,36,0,0,0,25,0,0,0,42,240,0,0,100,45,,137,220
13118333.28,80,Female,Not in labor force,,Unemployed,Wednesday,0,-1,0,30,600,200,0,0,0,0,10,90,0,0,53,393,0,0,0,0,,64,0
13575415.13,52,Female,Unemployed - looking,,Unemployed,Monday,0,-1,0,90,420,0,0,0,150,0,0,0,0,0,0,705,0,0,0,0,,75,0
6711893.165,33,Female,Employed - at work,No,Employed,Thursday,0,-1,300,40,470,70,230,0,220,0,10,0,0,0,45,225,0,0,0,0,,125,5
5784686.545,33,Male,Employed - at work,No,Employed,Tuesday,0,-1,0,15,525,120,0,0,495,0,0,0,0,0,120,135,0,0,0,0,,30,0
25466379.36,24,Female,Employed - absent,No,Unemployed,Thursday,0,-1,0,0,600,1,0,0,0,0,0,0,0,0,25,814,0,0,0,0,,0,0
13638651.51,48,Male,Employed - at work,No,Unemployed,Tuesday,0,-1,0,30,450,0,0,0,683,0,0,0,0,0,40,223,0,0,0,0,,14,0
10052049.19,16,Male,Not in labor force,Yes,,Sunday,0,-1,0,0,660,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,,30,0
1954915.694,60,Female,Employed - absent,,,Sunday,0,-1,0,50,710,35,0,0,0,0,0,0,0,0,65,580,0,0,0,0,,0,0
9589130.246,72,Female,Not in labor force,,,Friday,0,-1,0,5,625,180,0,110,0,0,0,0,0,0,70,430,0,0,0,20,,0,0
4348139.168,49,Female,Employed - at work,No,,Wednesday,0,-1,0,75,481,55,0,0,569,0,0,0,0,0,60,65,0,0,0,0,,135,0
3007786.317,38,Male,Employed - at work,No,Employed,Sunday,0,-1,595,15,630,280,155,0,0,0,20,0,0,0,75,170,60,0,0,0,,35,0
4984644.264,69,Male,Not in labor force,,Unemployed,Sunday,0,-1,0,15,510,90,0,0,0,0,0,0,0,0,25,800,0,0,0,0,,0,0
12285488.01,26,Male,Unemployed - looking,Yes,,Sunday,0,-1,0,60,540,0,0,0,0,270,0,0,0,0,150,120,0,145,0,0,,155,0
1980605.697,70,Female,Not in labor force,,,Sunday,0,-1,0,71,540,104,0,0,0,0,40,0,0,0,140,429,0,65,0,1,,38,12
3470813.38,41,Male,Employed - at work,No,,Sunday,0,115,0,70,345,50,10,110,600,0,10,0,0,0,17,90,0,0,0,0,,138,0
4003556.172,44,Female,Employed - at work,No,,Wednesday,0,-1,665,80,685,155,90,0,300,0,0,0,0,0,40,0,0,0,0,90,,0,0
9842807.518,63,Female,Not in labor force,,Employed,Wednesday,0,-1,0,10,735,155,0,150,0,0,0,0,0,0,20,330,0,0,0,0,,40,0
6867802.824,47,Male,Employed - at work,No,Employed,Tuesday,0,180,0,0,540,135,0,0,0,0,30,10,0,0,120,425,0,0,0,0,,180,0
6623827.1,71,Female,Not in labor force,,,Wednesday,0,-1,0,0,480,425,0,0,0,0,0,0,0,0,65,440,0,0,0,30,,0,0
3668652.289,32,Female,Employed - at work,No,,Thursday,0,-1,390,45,529,35,79,0,360,0,50,0,0,0,35,145,0,0,33,20,,74,35
2908972.266,51,Female,Employed - at work,,,Sunday,0,-1,0,0,240,375,40,0,60,0,0,0,0,0,20,565,0,0,0,0,,50,90
28035793.98,18,Female,Not in labor force,Yes,,Thursday,0,-1,0,80,290,0,0,0,0,766,15,0,0,0,80,105,20,0,0,0,,84,0
9220511.524,41,Female,Employed - at work,No,Employed,Friday,0,-1,0,35,700,65,0,0,410,0,5,0,0,0,40,70,0,0,0,0,,100,15
5131526.188,40,Female,Employed - at work,No,Employed,Thursday,0,-1,335,0,450,107,94,0,392,0,30,0,0,5,50,100,35,0,0,0,,167,10
3690268.378,20,Female,Not in labor force,No,Employed,Sunday,0,-1,0,30,690,90,1,0,0,0,21,0,0,0,0,315,0,0,0,0,,293,0
4782082.148,78,Female,Not in labor force,,,Friday,0,-1,0,10,450,20,0,27,0,0,0,0,0,0,105,590,0,0,0,0,,80,158
6096565.454,40,Female,Employed - at work,No,Unemployed,Thursday,0,-1,60,60,445,60,170,0,495,0,0,0,0,0,120,0,0,0,0,0,,90,0
7687662.195,46,Female,Not in labor force,No,Employed,Friday,0,-1,0,60,515,480,0,0,0,0,120,0,0,0,120,30,30,0,0,0,,85,0
4771772.214,62,Male,Not in labor force,,Unemployed,Monday,0,-1,0,0,655,393,0,0,0,0,60,0,0,0,20,240,0,0,0,0,,72,0
5999646.532,53,Male,Employed - at work,,,Wednesday,0,-1,0,40,580,35,0,0,475,0,35,0,0,0,30,150,0,0,0,0,,95,0
10925238.18,79,Male,Not in labor force,,Unemployed,Monday,0,145,0,10,600,245,0,0,0,0,0,0,0,0,70,445,0,0,0,60,,10,0
13388103,67,Male,Employed - at work,,Employed,Tuesday,0,-1,0,5,889,30,10,0,4,0,0,0,0,0,45,455,0,0,0,2,,0,0
12312325.56,62,Female,Not in labor force,,Unemployed,Monday,0,-1,0,0,210,500,390,0,0,0,0,0,0,0,30,310,0,0,0,0,,0,0
6021261.134,50,Female,Unemployed - looking,,Employed,Sunday,0,-1,0,35,595,95,0,0,265,0,0,0,0,0,0,60,0,165,115,55,,40,15
