TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
3434951.746,57,Female,Employed - at work,,,Wednesday,0,-1,0,55,450,415,0,0,230,0,30,0,0,0,175,30,0,0,0,0,,55,0
5602519.99,66,Female,Employed - at work,,Employed,Wednesday,0,-1,0,55,845,5,0,0,510,0,0,0,0,0,15,0,0,0,0,0,,10,0
4767554.151,33,Female,Not in labor force,No,Employed,Saturday,0,-1,829,90,570,495,41,0,0,0,0,0,0,0,35,209,0,0,0,0,,0,0
10244235.36,58,Female,Employed - at work,,Employed,Monday,0,-1,0,60,557,35,0,0,0,0,105,0,0,0,35,562,0,0,0,0,,86,0
18435835.75,17,Female,Employed - at work,Yes,,Wednesday,1,-1,0,30,926,0,1,0,0,0,40,0,0,0,45,180,90,0,0,0,,128,0
1842009.918,68,Female,Not in labor force,,,Saturday,0,-1,0,105,750,210,0,0,0,0,0,0,0,0,110,245,0,0,0,0,,20,0
1792222.945,78,Female,Not in labor force,,,Saturday,0,-1,0,45,465,60,0,0,0,0,0,0,0,0,150,720,0,0,0,0,,0,0
6172135.302,55,Female,Employed - at work,,,Saturday,0,-1,0,30,630,270,0,0,0,0,0,0,0,0,180,280,0,0,0,0,,50,0
2454855.564,77,Female,Not in labor force,,,Sunday,0,-1,0,30,540,95,0,0,0,0,0,0,0,0,30,310,0,0,0,0,,435,0
5151060.273,69,Female,Not in labor force,,,Thursday,0,556,0,30,165,123,0,25,0,0,0,0,0,0,60,881,0,0,109,0,,47,0
4499629.666,35,Female,Employed - at work,No,,Wednesday,0,-1,0,60,675,0,0,0,440,0,0,0,0,0,40,60,0,90,0,0,,75,0
18906787.14,39,Female,Employed - at work,No,Employed,Friday,0,-1,325,30,568,0,5,0,458,0,0,0,0,0,30,195,90,0,0,0,,64,0
6549545.512,44,Female,Employed - absent,No,Employed,Monday,0,-1,210,50,520,265,166,0,0,0,20,2,0,0,65,72,0,0,0,0,,100,180
2775795.828,36,Female,Employed - at work,No,Employed,Thursday,0,-1,0,45,480,0,0,0,530,0,0,0,0,0,105,220,0,0,0,0,,60,0
